"state","month","yrmo","avgt"
"Alabama"," January","200101",41.2
"Alabama"," January","200201",46.8
"Alabama"," January","200301",40
"Alabama"," January","200401",44.2
"Alabama"," January","200501",49.2
"Alabama"," January","200601",51.1
"Alabama"," January","200701",46.7
"Alabama"," January","200801",43.1
"Alabama"," January","200901",45.3
"Alabama"," January","201001",40
"Alabama"," January","201101",41.1
"Alabama"," January","201201",50.1
"Alabama"," January","201301",50.1
"Alabama"," January","201401",37.3
"Alabama"," January","201501",43.6
"Alabama"," January","201601",43
"Alabama"," February","200102",52.6
"Alabama"," February","200202",46
"Alabama"," February","200302",48
"Alabama"," February","200402",45.4
"Alabama"," February","200502",51.2
"Alabama"," February","200602",46.1
"Alabama"," February","200702",44.9
"Alabama"," February","200802",49.2
"Alabama"," February","200902",48.2
"Alabama"," February","201002",40.6
"Alabama"," February","201102",49.5
"Alabama"," February","201202",52.1
"Alabama"," February","201302",48
"Alabama"," February","201402",47.3
"Alabama"," February","201502",41.3
"Alabama"," February","201602",49.8
"Alabama"," March","200103",51.4
"Alabama"," March","200203",55
"Alabama"," March","200303",57.6
"Alabama"," March","200403",59
"Alabama"," March","200503",53.5
"Alabama"," March","200603",56.1
"Alabama"," March","200703",60
"Alabama"," March","200803",55.2
"Alabama"," March","200903",57.3
"Alabama"," March","201003",51.2
"Alabama"," March","201103",57.8
"Alabama"," March","201203",64.6
"Alabama"," March","201303",49.8
"Alabama"," March","201403",52.3
"Alabama"," March","201503",57.8
"Alabama"," March","201603",59.6
"Alabama"," April","200104",64.7
"Alabama"," April","200204",66.4
"Alabama"," April","200304",63.3
"Alabama"," April","200404",61.2
"Alabama"," April","200504",61
"Alabama"," April","200604",67.5
"Alabama"," April","200704",60
"Alabama"," April","200804",62.8
"Alabama"," April","200904",61.4
"Alabama"," April","201004",64.2
"Alabama"," April","201104",65.7
"Alabama"," April","201204",65
"Alabama"," April","201304",62.2
"Alabama"," April","201404",62.4
"Alabama"," April","201504",66.1
"Alabama"," April","201604",63.7
"Alabama"," May","200105",70.6
"Alabama"," May","200205",70.3
"Alabama"," May","200305",71.7
"Alabama"," May","200405",72.7
"Alabama"," May","200505",68.3
"Alabama"," May","200605",70.4
"Alabama"," May","200705",71.2
"Alabama"," May","200805",70.3
"Alabama"," May","200905",71.2
"Alabama"," May","201005",73.3
"Alabama"," May","201105",69.9
"Alabama"," May","201205",73.4
"Alabama"," May","201305",68.2
"Alabama"," May","201405",70.2
"Alabama"," May","201505",71.9
"Alabama"," May","201605",70.3
"Alabama"," June","200106",75.9
"Alabama"," June","200206",77.2
"Alabama"," June","200306",75.6
"Alabama"," June","200406",76.8
"Alabama"," June","200506",76.7
"Alabama"," June","200606",78.1
"Alabama"," June","200706",78.8
"Alabama"," June","200806",78.7
"Alabama"," June","200906",79.4
"Alabama"," June","201006",80.9
"Alabama"," June","201106",81.3
"Alabama"," June","201206",76.8
"Alabama"," June","201306",78
"Alabama"," June","201406",77.9
"Alabama"," June","201506",78.9
"Alabama"," June","201606",79.3
"Alabama"," July","200107",79.7
"Alabama"," July","200207",80.3
"Alabama"," July","200307",78.5
"Alabama"," July","200407",79.2
"Alabama"," July","200507",80.4
"Alabama"," July","200607",81.9
"Alabama"," July","200707",79.3
"Alabama"," July","200807",80
"Alabama"," July","200907",78.1
"Alabama"," July","201007",82.6
