state,year,mo,month.name,Month,avgt,Region
Alabama,2001,01,January,Jan 2001,41.2,East.South.Central
Alabama,2002,01,January,Jan 2002,46.8,East.South.Central
Alabama,2003,01,January,Jan 2003,40,East.South.Central
Alabama,2004,01,January,Jan 2004,44.2,East.South.Central
Alabama,2005,01,January,Jan 2005,49.2,East.South.Central
Alabama,2006,01,January,Jan 2006,51.1,East.South.Central
Alabama,2007,01,January,Jan 2007,46.7,East.South.Central
Alabama,2008,01,January,Jan 2008,43.1,East.South.Central
Alabama,2009,01,January,Jan 2009,45.3,East.South.Central
Alabama,2010,01,January,Jan 2010,40,East.South.Central
Alabama,2011,01,January,Jan 2011,41.1,East.South.Central
Alabama,2012,01,January,Jan 2012,50.1,East.South.Central
Alabama,2013,01,January,Jan 2013,50.1,East.South.Central
Alabama,2014,01,January,Jan 2014,37.3,East.South.Central
Alabama,2015,01,January,Jan 2015,43.6,East.South.Central
Alabama,2016,01,January,Jan 2016,43,East.South.Central
Alabama,2001,02,February,Feb 2001,52.6,East.South.Central
Alabama,2002,02,February,Feb 2002,46,East.South.Central
Alabama,2003,02,February,Feb 2003,48,East.South.Central
Alabama,2004,02,February,Feb 2004,45.4,East.South.Central
Alabama,2005,02,February,Feb 2005,51.2,East.South.Central
Alabama,2006,02,February,Feb 2006,46.1,East.South.Central
Alabama,2007,02,February,Feb 2007,44.9,East.South.Central
Alabama,2008,02,February,Feb 2008,49.2,East.South.Central
Alabama,2009,02,February,Feb 2009,48.2,East.South.Central
Alabama,2010,02,February,Feb 2010,40.6,East.South.Central
Alabama,2011,02,February,Feb 2011,49.5,East.South.Central
Alabama,2012,02,February,Feb 2012,52.1,East.South.Central
Alabama,2013,02,February,Feb 2013,48,East.South.Central
Alabama,2014,02,February,Feb 2014,47.3,East.South.Central
Alabama,2015,02,February,Feb 2015,41.3,East.South.Central
Alabama,2016,02,February,Feb 2016,49.8,East.South.Central
Alabama,2001,03,March,Mar 2001,51.4,East.South.Central
Alabama,2002,03,March,Mar 2002,55,East.South.Central
Alabama,2003,03,March,Mar 2003,57.6,East.South.Central
Alabama,2004,03,March,Mar 2004,59,East.South.Central
Alabama,2005,03,March,Mar 2005,53.5,East.South.Central
Alabama,2006,03,March,Mar 2006,56.1,East.South.Central
Alabama,2007,03,March,Mar 2007,60,East.South.Central
Alabama,2008,03,March,Mar 2008,55.2,East.South.Central
Alabama,2009,03,March,Mar 2009,57.3,East.South.Central
Alabama,2010,03,March,Mar 2010,51.2,East.South.Central
Alabama,2011,03,March,Mar 2011,57.8,East.South.Central
Alabama,2012,03,March,Mar 2012,64.6,East.South.Central
Alabama,2013,03,March,Mar 2013,49.8,East.South.Central
Alabama,2014,03,March,Mar 2014,52.3,East.South.Central
Alabama,2015,03,March,Mar 2015,57.8,East.South.Central
Alabama,2016,03,March,Mar 2016,59.6,East.South.Central
Alabama,2001,04,April,Apr 2001,64.7,East.South.Central
Alabama,2002,04,April,Apr 2002,66.4,East.South.Central
Alabama,2003,04,April,Apr 2003,63.3,East.South.Central
Alabama,2004,04,April,Apr 2004,61.2,East.South.Central
Alabama,2005,04,April,Apr 2005,61,East.South.Central
Alabama,2006,04,April,Apr 2006,67.5,East.South.Central
Alabama,2007,04,April,Apr 2007,60,East.South.Central
Alabama,2008,04,April,Apr 2008,62.8,East.South.Central
Alabama,2009,04,April,Apr 2009,61.4,East.South.Central
Alabama,2010,04,April,Apr 2010,64.2,East.South.Central
Alabama,2011,04,April,Apr 2011,65.7,East.South.Central
Alabama,2012,04,April,Apr 2012,65,East.South.Central
Alabama,2013,04,April,Apr 2013,62.2,East.South.Central
Alabama,2014,04,April,Apr 2014,62.4,East.South.Central
Alabama,2015,04,April,Apr 2015,66.1,East.South.Central
