Net generation for all fuels (utility-scale) monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=g&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&columnchart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=201702&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
11:15:20 GMT-0400 (EDT)
Data source: U.S. Energy Information Administration
Month,New England : all sectors thousand megawatthours,Middle Atlantic : all sectors thousand megawatthours,East North Central : all sectors thousand megawatthours,West North Central : all sectors thousand megawatthours,South Atlantic : all sectors thousand megawatthours,East South Central : all sectors thousand megawatthours,Mountain : all sectors thousand megawatthours,West South Central : all sectors thousand megawatthours,Pacific Noncontiguous : all sectors thousand megawatthours,Pacific Contiguous : all sectors thousand megawatthours
Feb 2017,8078.61436,29276.23498,43562.34905,25960.07784,54743.67757,25145.59687,25945.86153,46223.74269,1086.1124,28391.6261
Jan 2017,8945.39712,33485.05057,51319.4222,31140.32352,66317.03793,29760.18245,31394.6087,57344.11226,1315.45512,33951.29528
Dec 2016,8869.38141,36521.05595,51890.7486,30537.83227,65821.62974,30385.67027,31529.07872,56400.43888,1337.92279,31944.54793
Nov 2016,7904.40953,32370.68265,43161.69209,24305.94511,56620.00464,25808.31543,27697.01601,50679.0536,1248.39532,27631.83411
Oct 2016,8014.733,32411.16308,44345.93315,24134.23603,60887.66784,26998.64832,29410.06159,56330.84698,1281.20086,29013.92282
Sep 2016,8939.18649,36808.09965,49427.79541,26380.92142,70930.14304,32580.74754,30921.54361,63672.14414,1254.45004,30853.80049
Aug 2016,11020.03929,44164.05777,58130.80111,32113.48904,83807.71074,37621.47898,36126.33985,70468.25942,1335.4582,35325.64787
Jul 2016,11014.4249,42058.53061,57045.18889,32044.47177,85493.6686,36569.05888,37475.98486,73812.78606,1282.48256,35652.90326
Jun 2016,9158.34186,35630.86936,51934.68341,29025.32624,75817.01806,33189.12684,33443.61274,65407.77018,1165.8391,33645.28484
May 2016,9007.46624,32962.56617,42684.38041,23613.13712,65218.88253,28837.78991,27410.72666,55973.64959,1205.48687,30423.10621
Apr 2016,8268.36851,30110.87477,41927.94684,23233.66385,58048.1946,24968.64341,24994.29324,50382.16754,1158.61411,29549.90292
Mar 2016,8338.73877,32187.71391,43986.40822,24671.51338,58712.48324,26681.38567,26581.58923,51382.8307,1244.30648,30165.31609
Feb 2016,8597.33341,33865.12658,47047.6666,26579.91987,63224.16812,29374.51689,27007.84865,49446.94093,1203.19537,27402.39714
Jan 2016,9163.97686,37589.00653,54050.46904,30459.00542,69453.32093,33292.40325,31371.84763,56420.11651,1306.76983,29638.26302
Dec 2015,8859.48135,33978.51136,46455.28015,26996.98043,61222.37748,28724.71428,32135.97943,53827.00723,1451.77312,30775.11868
Nov 2015,7906.08532,32710.66798,44689.4018,24430.16936,57231.14728,26947.14971,28155.02702,48973.84519,1428.61497,28181.15892
Oct 2015,7810.59402,33325.3591,46429.54844,25971.68628,56619.51199,27806.0843,30030.0473,52714.72261,1394.31827,30009.80758
Sep 2015,9224.38157,36994.86158,49916.94648,28149.15341,67063.38135,30942.90069,32945.86179,61848.6918,1391.16832,31644.30122
Aug 2015,11066.72121,40549.92999,54866.782,30109.88659,76257.08586,35306.4636,37137.42507,70402.72877,1453.24374,34965.93618
Jul 2015,11137.09849,40471.04262,55790.56002,31540.08963,79544.24676,37618.00446,36623.70641,71979.21688,1387.37904,34327.50846
Jun 2015,9368.80941,35860.14409,50595.80619,27936.85762,74109.77787,34124.32465,34388.02081,63298.67662,1297.39492,31429.38967
May 2015,8884.383,33248.55118,45941.85489,24817.7848,66121.54088,30102.48024,29173.97268,54906.69899,1315.84349,27573.80197
Apr 2015,8122.43486,30352.91131,43101.16367,23956.89548,57025.70378,26112.31859,27376.06884,49337.22869,1311.61014,27437.00708
Mar 2015,8827.80837,36468.34901,50495.16716,26538.11281,60992.07252,30095.86621,28491.59306,51059.60735,1332.14009,29891.17699
Feb 2015,9397.6002,35397.36255,53887.56156,28374.40904,66900.43388,33166.02153,26200.95728,52645.9084,1304.24628,27201.0457
Jan 2015,9629.41824,38451.18069,57062.87729,30656.88748,69000.0689,35047.26878,30509.78252,58339.3804,1336.7052,30421.59778
Dec 2014,8826.49677,37177.26355,52544.60416,29375.55287,62352.88026,31819.41885,30677.30896,52979.2155,1400.90812,30803.0069
Nov 2014,8202.64138,33423.12898,50296.90835,27684.18125,59888.51704,29252.30074,28850.3448,50171.71362,1361.14788,28364.1251
Oct 2014,8433.14533,33983.32361,46070.49719,25830.65164,58418.44006,27970.83917,29779.55372,52399.72934,1408.15134,30227.66708
Sep 2014,9169.88936,34291.06477,48648.57194,25909.61204,65228.39442,31253.62044,33044.46,59263.30418,1371.96005,31705.62833
Aug 2014,10312.34039,37797.16593,56575.85717,31019.56598,72945.93041,35461.3179,35931.64119,68969.0442,1391.21435,33937.07073
Jul 2014,11299.95223,39240.56652,54802.26698,30754.438,74313.74354,34025.03361,37810.65465,65422.35941,1374.15575,36736.38079
